ID,figure,size,color,rotation_angle,center_x,center_y
9976,triangle,11,#008000,21,-1,2
9977,hexagon,14,#008000,50,-1,0
9978,pentagon,13,#FFA500,28,1,-3
9979,circle,12,#800080,0,0,-4
9980,circle,6,#00FFFF,0,2,-7
9981,hexagon,12,#00FFFF,55,3,-4
9982,pentagon,6,#FFA500,25,-1,-7
9983,square,5,#000000,25,-9,2
9984,hexagon,10,#FF0000,22,3,-6
9985,pentagon,15,#FFA500,7,0,0
9986,triangle,6,#800080,77,0,0
9987,pentagon,14,#FF00FF,22,0,0
9988,hexagon,10,#FFA500,23,-5,-2
9989,triangle,12,#FF0000,7,-4,-2
9990,circle,6,#FFA500,0,2,-8
9991,pentagon,9,#00FF00,68,-2,-5
9992,hexagon,7,#FFA500,8,1,-8
9993,square,11,#FFA500,0,1,3
9994,square,5,#00FF00,48,-7,10
9995,square,8,#FF0000,87,6,7
9996,hexagon,6,#000000,32,2,-10
9997,triangle,8,#800080,28,6,-8
9998,triangle,12,#008000,94,3,3
9999,circle,5,#000000,0,6,-1
10000,circle,15,#008000,0,-1,-1
10001,pentagon,15,#00FF00,40,-1,0
10002,circle,12,#FFA500,0,3,3
10003,square,13,#800080,29,0,2
10004,hexagon,11,#800080,6,-2,-1
10005,square,5,#00FF00,69,-8,2
10006,triangle,13,#0000FF,92,-1,-1
10007,circle,9,#000000,0,-7,-4
10008,circle,6,#0000FF,0,9,-9
10009,triangle,12,#FFFF00,7,-4,1
10010,hexagon,8,#008000,7,1,-5
10011,circle,6,#FF0000,0,-6,1
10012,pentagon,7,#FFA500,26,6,7
10013,pentagon,14,#FF00FF,24,0,0
10014,hexagon,6,#800080,16,9,3
10015,hexagon,14,#FF00FF,24,-2,-2
10016,hexagon,11,#800080,25,-3,2
10017,circle,13,#FFFF00,0,-1,0
10018,hexagon,11,#FFFF00,30,0,-2
10019,triangle,5,#00FFFF,9,7,6
10020,square,7,#FFFF00,5,-4,-6
10021,pentagon,9,#00FFFF,69,-2,4
10022,hexagon,12,#FF0000,1,1,3
10023,square,12,#00FFFF,58,-2,1
10024,triangle,10,#00FF00,101,-4,-5
10025,pentagon,13,#FFA500,5,1,-3
10026,pentagon,10,#FF0000,24,-5,4
10027,hexagon,9,#FFFF00,23,1,4
10028,square,14,#FF00FF,77,1,-2
10029,triangle,12,#FFA500,42,-4,-2
10030,pentagon,13,#FFFF00,59,-2,-3
10031,pentagon,5,#FFA500,14,-10,0
10032,pentagon,14,#FFFF00,45,-1,-2
10033,triangle,15,#FFA500,24,0,0
10034,square,7,#000000,59,4,7
10035,circle,15,#00FFFF,0,-1,0
10036,circle,9,#800080,0,6,-2
10037,triangle,6,#00FF00,70,-10,-6
10038,square,8,#FF0000,69,-7,-1
10039,triangle,15,#008000,11,-1,0
10040,hexagon,5,#FF00FF,35,3,4
10041,circle,14,#FF0000,0,-2,-1
10042,pentagon,15,#FF0000,2,-1,-1
10043,hexagon,7,#0000FF,51,8,-2
10044,triangle,8,#000000,17,0,6
10045,triangle,11,#00FFFF,69,0,-3
10046,pentagon,6,#FF0000,55,6,8
10047,triangle,11,#00FF00,4,1,-5
10048,pentagon,11,#FFA500,21,1,1
10049,square,11,#000000,36,-4,3
10050,hexagon,10,#800080,54,-1,5
10051,square,14,#00FF00,89,-1,1
10052,pentagon,10,#000000,63,-5,2
10053,pentagon,15,#FF00FF,46,-1,-1
10054,circle,13,#FF0000,0,1,0
10055,circle,7,#800080,0,7,-9
10056,square,11,#FFA500,8,0,-5
10057,triangle,14,#008000,100,0,1
10058,triangle,15,#008000,48,0,-1
10059,triangle,8,#800080,100,-1,0
10060,pentagon,9,#008000,20,6,5
10061,circle,15,#FF0000,0,-1,0
10062,hexagon,11,#008000,0,-1,-4
10063,triangle,12,#FFA500,79,-2,2
10064,circle,6,#0000FF,0,-10,-6
10065,hexagon,9,#00FF00,47,-5,-4
10066,square,12,#0000FF,53,3,0
10067,square,13,#00FFFF,13,-2,-3
10068,square,11,#0000FF,43,3,-1
10069,hexagon,14,#00FF00,20,1,-2
10070,hexagon,5,#000000,30,9,8
10071,triangle,14,#000000,25,0,0
10072,square,7,#00FF00,7,-1,4
10073,triangle,14,#008000,6,-1,-1
10074,triangle,6,#FFA500,32,6,-7
10075,square,13,#FF00FF,81,0,1
10076,triangle,11,#FFA500,109,-2,3
10077,circle,13,#FF0000,0,1,2
10078,pentagon,13,#00FF00,58,1,2
10079,circle,13,#00FF00,0,-2,-3
10080,triangle,13,#FF0000,118,0,1
10081,pentagon,6,#0000FF,17,8,-10
10082,hexagon,10,#800080,41,1,-1
10083,pentagon,13,#800080,0,1,-2
10084,hexagon,8,#00FF00,41,7,5
10085,pentagon,8,#008000,10,4,-1
10086,circle,5,#FF00FF,0,6,4
10087,circle,12,#00FFFF,0,-4,2
10088,circle,5,#FFFF00,0,6,-9
10089,circle,14,#008000,0,-1,1
10090,circle,8,#000000,0,6,0
10091,triangle,5,#00FFFF,59,2,4
10092,pentagon,12,#FFA500,55,-2,2
10093,square,10,#800080,28,3,-4
10094,square,15,#FF0000,11,0,-1
10095,triangle,12,#FF0000,55,-4,-3
10096,pentagon,8,#FFA500,14,3,5
10097,hexagon,11,#FFFF00,48,0,2
10098,triangle,8,#FF00FF,28,-1,-7
10099,triangle,12,#00FF00,5,-2,3
10100,triangle,7,#FF0000,1,4,6
10101,triangle,9,#FF0000,20,-7,6
10102,square,5,#FF00FF,47,-2,10
10103,square,6,#FF00FF,69,5,8
10104,square,6,#00FFFF,14,-6,8
10105,triangle,12,#000000,70,-1,3
10106,square,8,#00FFFF,7,1,4
10107,pentagon,8,#000000,22,4,-7
10108,hexagon,8,#000000,32,-6,-1
10109,circle,10,#000000,0,-3,5
10110,circle,11,#FF0000,0,3,-4
10111,pentagon,5,#FF00FF,1,-4,9
10112,circle,15,#FFA500,0,-1,0
10113,hexagon,11,#000000,4,0,3
10114,square,14,#FF00FF,60,0,-2
10115,triangle,7,#00FF00,1,2,5
10116,triangle,9,#0000FF,74,-7,-3
10117,triangle,6,#0000FF,37,-7,-1
10118,circle,15,#FF00FF,0,-1,-1
10119,hexagon,10,#FF00FF,38,-5,-2
10120,circle,10,#0000FF,0,-4,-1
10121,pentagon,8,#FF00FF,35,-5,-8
10122,hexagon,5,#008000,22,8,9
10123,hexagon,9,#00FFFF,37,-4,4
10124,square,15,#FFFF00,44,-1,0
10125,pentagon,9,#000000,59,4,-5
10126,circle,14,#00FF00,0,1,-2
10127,circle,5,#FFFF00,0,10,10
10128,circle,11,#008000,0,-1,-3
10129,circle,9,#00FF00,0,4,-6
10130,pentagon,8,#008000,58,5,-6
10131,hexagon,10,#FFA500,35,4,-1
10132,triangle,15,#00FFFF,100,-1,0
10133,triangle,11,#008000,45,-5,0
10134,circle,14,#FF0000,0,1,1
10135,square,13,#FF0000,3,0,1
10136,square,15,#00FFFF,60,0,-1
10137,pentagon,9,#0000FF,64,-4,-3
10138,hexagon,10,#008000,27,-3,5
10139,triangle,11,#FF0000,53,3,-5
10140,triangle,14,#800080,11,1,-2
10141,triangle,10,#008000,89,-2,1
10142,triangle,11,#000000,78,-4,1
10143,hexagon,15,#FFA500,32,-1,0
10144,circle,11,#FFA500,0,-4,0
10145,triangle,5,#00FFFF,31,7,10
10146,square,6,#008000,12,-3,-7
10147,square,9,#000000,72,-1,6
10148,triangle,8,#00FF00,44,-1,2
10149,circle,15,#00FFFF,0,0,-1
10150,circle,5,#FFA500,0,-8,-4
10151,hexagon,12,#FF00FF,53,-1,1
10152,square,6,#0000FF,6,5,3
10153,triangle,8,#00FFFF,16,-4,6
10154,hexagon,7,#008000,6,8,-2
10155,circle,10,#00FF00,0,-6,3
10156,circle,7,#FF0000,0,4,0
10157,square,7,#FFA500,74,4,5
10158,circle,11,#FF0000,0,-3,-4
10159,circle,11,#000000,0,0,0
10160,pentagon,10,#FF00FF,1,0,-1
10161,square,7,#0000FF,26,-9,-8
10162,pentagon,11,#FF0000,46,-1,0
10163,pentagon,6,#FF0000,0,2,9
10164,hexagon,14,#008000,23,-1,1
10165,circle,11,#FFFF00,0,-1,-5
10166,hexagon,6,#0000FF,25,9,-7
10167,triangle,9,#800080,87,0,-3
10168,circle,11,#000000,0,4,2
10169,hexagon,14,#00FFFF,24,-1,0
10170,pentagon,6,#00FF00,3,5,-5
10171,circle,8,#FFA500,0,5,-1
10172,square,5,#FFFF00,56,-1,2
10173,pentagon,13,#008000,51,1,-1
10174,hexagon,6,#FF0000,11,4,9
10175,hexagon,15,#FFFF00,14,-1,0
10176,circle,14,#FFA500,0,-2,1
10177,square,14,#FFA500,5,-1,-2
10178,circle,15,#FFFF00,0,0,0
10179,circle,10,#000000,0,-4,-2
10180,circle,6,#FF00FF,0,9,-6
10181,hexagon,5,#800080,49,-8,8
10182,square,7,#FFFF00,4,-7,5
10183,hexagon,14,#00FFFF,59,1,-1
10184,triangle,9,#FFFF00,111,6,-1
10185,square,13,#FFFF00,57,2,-3
10186,square,8,#00FFFF,3,-6,3
10187,triangle,7,#00FF00,64,7,5
10188,triangle,10,#FF0000,37,-6,-2
10189,hexagon,5,#008000,59,8,0
10190,triangle,12,#FF0000,28,3,-3
10191,triangle,10,#FF00FF,97,5,3
10192,triangle,8,#00FFFF,54,-4,1
10193,square,12,#000000,33,0,-2
10194,hexagon,6,#FFA500,46,-6,-2
10195,square,15,#0000FF,25,0,0
10196,circle,9,#FF00FF,0,1,5
10197,triangle,12,#800080,16,3,-1
10198,pentagon,10,#0000FF,58,-1,-1
10199,triangle,5,#00FF00,4,3,-2
10200,square,5,#0000FF,10,-9,1
10201,circle,13,#FFA500,0,-1,0
10202,pentagon,6,#0000FF,24,-9,8
10203,triangle,7,#008000,69,-5,5
10204,hexagon,11,#FF0000,15,1,-5
10205,square,6,#000000,45,7,5
10206,circle,11,#FF0000,0,-4,1
10207,pentagon,13,#FF00FF,62,-3,-2
10208,circle,8,#FF00FF,0,-2,-3
10209,triangle,10,#0000FF,92,-5,-1
10210,hexagon,10,#00FF00,33,1,5
10211,hexagon,5,#00FF00,37,6,-2
10212,triangle,10,#000000,98,0,4
10213,pentagon,9,#00FFFF,66,0,6
10214,circle,11,#008000,0,0,4
10215,triangle,6,#FF0000,36,-5,2
10216,triangle,12,#0000FF,87,-2,-4
10217,triangle,14,#800080,65,1,0
10218,hexagon,13,#00FFFF,33,-2,2
10219,pentagon,8,#FF0000,35,-2,7
10220,pentagon,9,#00FFFF,22,3,5
10221,circle,6,#FFA500,0,7,5
10222,pentagon,7,#000000,66,-9,-9
10223,triangle,12,#008000,103,2,-1
10224,triangle,15,#008000,49,-1,-1
10225,triangle,12,#008000,44,-3,0
10226,pentagon,15,#800080,48,0,-1
10227,triangle,9,#008000,97,3,-5
10228,circle,5,#800080,0,-1,3
10229,circle,10,#00FFFF,0,4,3
10230,triangle,6,#00FFFF,100,-4,-1
10231,square,6,#0000FF,48,-1,-4
10232,pentagon,10,#FFFF00,30,5,-6
10233,circle,8,#0000FF,0,6,-1
10234,circle,14,#0000FF,0,0,1
10235,pentagon,7,#00FF00,68,0,-1
10236,hexagon,5,#FFA500,39,-6,8
10237,circle,11,#0000FF,0,-2,0
10238,square,15,#00FF00,2,-1,-1
10239,triangle,9,#00FF00,85,-2,-7
10240,triangle,7,#00FF00,52,-8,8
10241,circle,7,#FFA500,0,-4,3
10242,square,14,#FF00FF,87,-1,0
10243,square,15,#00FF00,15,0,0
10244,circle,13,#00FF00,0,-3,-1
10245,triangle,8,#008000,73,-2,-7
10246,hexagon,7,#FF0000,15,-6,-7
10247,hexagon,7,#FF00FF,48,2,6
10248,square,6,#FFFF00,15,-6,8
10249,circle,14,#00FFFF,0,-2,0
10250,triangle,5,#008000,95,2,-3
10251,pentagon,11,#FFA500,4,3,-4
10252,circle,5,#FF0000,0,-8,-8
10253,circle,12,#00FFFF,0,-2,-1
10254,square,5,#FFA500,33,-9,4
10255,hexagon,13,#FF0000,16,2,-3
10256,pentagon,7,#00FF00,16,6,5
10257,hexagon,13,#00FFFF,58,-1,2
10258,hexagon,14,#FFA500,7,-1,0
10259,circle,12,#000000,0,2,0
10260,square,14,#00FF00,22,0,-1
10261,triangle,8,#FFFF00,28,3,4
10262,square,7,#FF00FF,22,3,-2
10263,circle,9,#800080,0,-3,1
10264,square,5,#0000FF,54,-8,-8
10265,square,10,#00FFFF,10,-1,-4
10266,square,11,#FFA500,45,-1,-3
10267,hexagon,12,#FFFF00,22,1,0
10268,square,9,#800080,67,2,1
10269,square,6,#00FFFF,0,8,-8
10270,triangle,10,#00FF00,14,-2,-5
10271,square,13,#FF0000,57,-1,-3
10272,triangle,5,#000000,20,6,4
10273,pentagon,5,#FF00FF,65,-7,7
10274,square,5,#0000FF,34,-4,5
10275,hexagon,6,#00FF00,29,-7,-4
10276,circle,14,#000000,0,-2,-1
10277,pentagon,11,#800080,65,4,4
10278,circle,10,#000000,0,5,-2
10279,circle,9,#0000FF,0,0,-6
10280,pentagon,6,#00FFFF,47,-2,-7
10281,hexagon,13,#FF00FF,49,-2,1
10282,square,7,#FF0000,23,-1,-3
10283,square,7,#800080,3,-7,-2
10284,circle,11,#FF00FF,0,-4,-5
10285,hexagon,10,#FF0000,5,5,2
10286,pentagon,8,#FFA500,11,1,7
10287,circle,11,#FF0000,0,-5,3
10288,pentagon,15,#0000FF,67,0,0
10289,square,7,#00FF00,69,-9,6
10290,hexagon,7,#000000,53,-1,5
10291,square,9,#0000FF,57,-4,3
10292,circle,12,#FFA500,0,-2,0
10293,triangle,9,#0000FF,113,-1,-3
10294,circle,6,#FF0000,0,-10,-4
10295,hexagon,11,#800080,34,-3,3
10296,hexagon,5,#00FFFF,37,3,8
10297,square,14,#FFFF00,40,-2,-2
10298,triangle,14,#FF00FF,101,-1,1
10299,triangle,9,#FFFF00,7,-6,-7
10300,pentagon,5,#FFFF00,32,-11,2
10301,circle,7,#FFA500,0,3,4
10302,circle,13,#00FFFF,0,-2,0
10303,triangle,5,#FF0000,119,-1,-8
10304,square,6,#008000,45,8,3
10305,square,11,#800080,67,-4,-4
10306,circle,9,#008000,0,1,5
10307,triangle,10,#FFFF00,35,0,-2
10308,hexagon,8,#FFA500,21,-3,7
10309,hexagon,9,#FF00FF,30,0,-1
10310,square,10,#00FF00,72,3,-4
10311,hexagon,5,#000000,21,-10,10
10312,square,10,#00FF00,58,2,3
10313,circle,15,#00FF00,0,-1,0
10314,square,6,#000000,7,1,0
10315,triangle,10,#FFA500,4,-5,-1
10316,pentagon,13,#FFFF00,16,2,0
10317,square,12,#000000,84,-3,0
10318,hexagon,9,#0000FF,50,-4,-2
10319,pentagon,12,#0000FF,9,-3,-3
10320,pentagon,8,#FFA500,34,-8,6
10321,pentagon,10,#FF00FF,13,3,0
10322,triangle,12,#FF0000,65,1,0
10323,pentagon,5,#FF0000,22,0,6
10324,square,14,#00FF00,35,-1,1
10325,square,13,#FF00FF,22,-3,-3
10326,square,5,#008000,38,0,6
10327,square,10,#00FFFF,44,-6,0
10328,pentagon,7,#00FF00,23,-8,4
10329,pentagon,9,#00FFFF,20,-1,3
10330,square,15,#000000,39,0,-1
10331,hexagon,6,#FFA500,40,9,-5
10332,hexagon,14,#00FFFF,32,-1,0
10333,square,13,#800080,42,-3,2
10334,hexagon,12,#000000,30,-4,-4
10335,triangle,10,#800080,73,0,-4
10336,square,11,#FFA500,41,-3,-5
10337,square,5,#008000,10,-9,9
10338,square,7,#FFFF00,64,-1,-1
10339,square,8,#0000FF,83,1,-5
10340,triangle,14,#0000FF,73,0,-2
10341,hexagon,8,#00FF00,21,-6,7
10342,hexagon,10,#FFA500,34,5,1
10343,hexagon,7,#FF00FF,3,2,-7
10344,pentagon,9,#00FF00,66,3,3
10345,circle,12,#000000,0,-2,3
10346,triangle,7,#800080,78,-6,4
10347,triangle,14,#FFFF00,28,0,-2
10348,pentagon,14,#FF0000,10,-2,-1
10349,triangle,13,#000000,31,-3,-2
10350,hexagon,9,#008000,30,4,5
10351,circle,13,#00FF00,0,0,-1
10352,square,7,#FF0000,63,-5,7
10353,square,13,#0000FF,26,-3,0
10354,square,13,#FF00FF,57,1,-2
10355,circle,13,#0000FF,0,1,-1
10356,circle,13,#0000FF,0,2,-2
10357,square,5,#0000FF,19,-3,-6
10358,pentagon,11,#FFA500,49,0,-3
10359,pentagon,14,#FF0000,27,-2,1
10360,pentagon,7,#000000,58,1,8
10361,square,12,#000000,8,2,1
10362,circle,12,#008000,0,-3,-4
10363,circle,10,#00FFFF,0,0,-5
10364,circle,12,#FF00FF,0,-4,-1
10365,triangle,13,#800080,113,0,2
10366,hexagon,13,#FFA500,40,0,2
10367,hexagon,9,#00FF00,45,-2,-2
10368,square,8,#FF00FF,51,5,4
10369,triangle,11,#FF0000,46,3,-5
10370,circle,11,#FF00FF,0,1,4
10371,pentagon,6,#000000,21,-2,1
10372,square,12,#00FF00,59,-4,1
10373,hexagon,11,#FFA500,48,-1,-2
10374,hexagon,14,#FFFF00,5,0,0
10375,circle,12,#008000,0,1,2
10376,circle,7,#0000FF,0,6,-1
10377,triangle,9,#00FFFF,61,5,0
10378,square,10,#00FF00,69,-1,-3
10379,circle,15,#00FF00,0,-1,0
10380,hexagon,5,#00FF00,0,2,4
10381,pentagon,13,#00FFFF,19,-2,-3
10382,triangle,7,#FF00FF,47,-3,1
10383,triangle,7,#FF00FF,11,0,-9
10384,pentagon,7,#00FFFF,15,6,-2
10385,square,10,#00FF00,44,2,4
10386,square,8,#0000FF,87,-6,5
10387,pentagon,9,#00FFFF,63,-3,-5
10388,hexagon,9,#FFA500,0,4,-2
10389,pentagon,10,#800080,8,2,-6
10390,pentagon,10,#0000FF,60,-1,-6
10391,pentagon,5,#0000FF,13,-8,0
10392,hexagon,13,#00FF00,13,2,0
10393,circle,8,#FF00FF,0,2,-1
10394,hexagon,10,#FFA500,30,0,-5
10395,square,15,#00FF00,55,-1,-1
10396,triangle,6,#FF00FF,119,9,-3
10397,hexagon,6,#FF0000,47,3,4
10398,square,10,#0000FF,16,2,-3
10399,hexagon,15,#FFFF00,22,-1,-1
10400,square,5,#FFFF00,0,-10,0
10401,hexagon,9,#FFA500,54,3,4
10402,hexagon,11,#00FF00,14,1,-1
10403,hexagon,5,#FFA500,24,-11,-4
10404,triangle,14,#FFA500,113,0,1
10405,pentagon,6,#000000,6,-2,-4
10406,hexagon,14,#FFFF00,2,-2,0
10407,square,14,#000000,8,0,0
10408,circle,5,#0000FF,0,-3,2
10409,hexagon,14,#FF00FF,8,0,-1
10410,pentagon,5,#FF0000,35,5,-7
10411,pentagon,12,#0000FF,68,0,-2
10412,hexagon,8,#FFA500,14,-4,-5
10413,square,9,#00FFFF,41,5,-7
10414,circle,15,#FFA500,0,0,0
10415,triangle,11,#000000,19,-1,2
10416,triangle,9,#00FFFF,2,3,0
10417,circle,10,#FFFF00,0,-2,-6
10418,square,15,#800080,85,0,-1
10419,hexagon,5,#0000FF,45,-4,10
10420,pentagon,5,#00FFFF,19,-1,9
10421,pentagon,11,#008000,71,-2,-5
10422,pentagon,11,#FF0000,31,-1,0
10423,triangle,9,#FFFF00,60,6,4
10424,circle,9,#000000,0,4,-1
10425,pentagon,11,#008000,64,-4,3
10426,hexagon,15,#FF0000,50,-1,-1
10427,triangle,11,#FFA500,89,-1,-5
10428,pentagon,7,#000000,50,-5,-7
10429,circle,12,#800080,0,2,2
10430,hexagon,7,#00FFFF,30,-6,-9
10431,hexagon,13,#00FFFF,27,-2,1
10432,hexagon,12,#000000,55,0,3
10433,pentagon,13,#00FFFF,47,2,-1
10434,circle,7,#00FF00,0,-3,-7
10435,square,6,#00FF00,56,4,-5
10436,square,11,#FF00FF,40,2,-2
10437,pentagon,9,#FFA500,49,4,2
10438,hexagon,15,#008000,31,0,0
10439,triangle,8,#00FFFF,7,-1,7
10440,square,15,#00FF00,69,0,-1
10441,pentagon,14,#FFA500,16,0,0
10442,circle,13,#000000,0,0,2
10443,hexagon,8,#FFA500,23,-8,4
10444,triangle,5,#FF0000,93,4,-1
10445,hexagon,14,#000000,10,0,-2
10446,hexagon,14,#00FFFF,17,0,1
10447,pentagon,5,#008000,12,9,-10
10448,triangle,11,#FF00FF,19,-3,-3
10449,pentagon,13,#008000,43,-2,1
10450,square,12,#800080,38,1,0
10451,circle,11,#008000,0,-3,-2
10452,hexagon,14,#FF00FF,2,-2,0
10453,triangle,14,#008000,6,-1,-2
10454,square,13,#008000,68,1,0
10455,circle,9,#00FFFF,0,1,-1
10456,pentagon,7,#800080,65,3,-4
10457,square,7,#008000,63,5,6
10458,square,8,#FF0000,88,-4,6
10459,square,7,#FF00FF,5,-4,6
10460,circle,6,#FF00FF,0,-8,-7
10461,square,6,#000000,32,-10,-9
10462,pentagon,8,#FF0000,47,6,7
10463,circle,15,#FFA500,0,-1,-1
10464,hexagon,14,#00FFFF,23,0,-2
10465,triangle,15,#FFA500,37,-1,0
10466,hexagon,12,#000000,24,-3,-2
10467,triangle,10,#008000,46,0,2
10468,circle,12,#FFFF00,0,-4,-2
10469,square,13,#008000,60,-3,0
10470,pentagon,15,#00FF00,55,-1,0
10471,square,7,#0000FF,11,3,6
10472,circle,13,#800080,0,2,2
10473,hexagon,10,#008000,19,2,2
10474,circle,8,#00FF00,0,-8,-8
10475,triangle,9,#000000,36,1,5
10476,hexagon,14,#FF0000,30,-1,1
10477,triangle,12,#FFA500,79,3,-3
10478,pentagon,6,#00FF00,4,7,-7
10479,triangle,12,#FFFF00,94,2,2
10480,triangle,6,#0000FF,49,-10,1
10481,pentagon,12,#00FFFF,21,0,-1
10482,circle,11,#000000,0,-4,-5
10483,pentagon,10,#800080,43,5,-4
10484,pentagon,6,#FFA500,56,-2,-6
10485,pentagon,7,#000000,5,-2,4
10486,pentagon,6,#FF00FF,38,4,-8
10487,circle,15,#008000,0,-1,-1
10488,triangle,13,#FF0000,116,-3,1
10489,square,11,#FFFF00,80,2,-2
10490,pentagon,9,#00FFFF,70,6,-7
10491,triangle,11,#FFA500,108,-3,-1
10492,pentagon,12,#008000,64,-1,-3
10493,circle,7,#0000FF,0,-6,-2
10494,square,5,#00FFFF,74,-4,8
10495,hexagon,13,#FF00FF,16,-3,1
10496,triangle,7,#008000,20,-8,-3
10497,triangle,11,#FF0000,94,3,2
10498,hexagon,9,#800080,32,5,0
10499,square,12,#FFA500,71,-2,2
10500,pentagon,5,#000000,66,-7,-3
10501,square,12,#800080,2,-1,-1
10502,hexagon,7,#0000FF,38,-2,6
10503,hexagon,13,#FF00FF,55,0,-2
10504,hexagon,9,#008000,59,1,0
10505,hexagon,6,#000000,16,-9,-1
10506,triangle,14,#800080,28,-2,0
10507,square,11,#FF00FF,16,-1,0
10508,hexagon,6,#0000FF,29,-3,-5
10509,circle,9,#FFA500,0,-4,5
10510,hexagon,13,#0000FF,59,0,-2
10511,square,7,#800080,58,2,-8
10512,pentagon,10,#0000FF,53,-6,1
10513,hexagon,10,#0000FF,31,-3,-4
10514,hexagon,13,#0000FF,32,-1,-1
10515,square,15,#00FFFF,70,0,-1
10516,hexagon,6,#FFFF00,47,-2,3
10517,hexagon,12,#00FFFF,56,-1,-1
10518,square,13,#00FF00,63,-1,2
10519,triangle,15,#00FFFF,20,-1,-1
10520,circle,5,#FFA500,0,-10,0
10521,square,14,#00FF00,76,-2,0
10522,circle,12,#FFFF00,0,-2,-2
10523,triangle,15,#FFA500,88,0,0
10524,square,7,#00FFFF,38,8,-9
10525,circle,5,#008000,0,4,2
10526,triangle,13,#FFFF00,59,-1,1
10527,square,14,#0000FF,64,-1,0
10528,square,8,#FF00FF,9,-3,2
10529,circle,10,#00FFFF,0,1,5
10530,square,10,#FFA500,79,1,-6
10531,square,9,#008000,57,3,3
10532,hexagon,12,#00FF00,57,-2,2
10533,square,9,#00FFFF,40,0,5
10534,pentagon,6,#FFFF00,57,-2,9
10535,square,13,#000000,29,-1,-3
10536,circle,13,#00FFFF,0,0,1
10537,square,8,#FF0000,72,-2,-3
10538,circle,6,#00FF00,0,-8,-9
10539,circle,5,#800080,0,-8,3
10540,square,11,#00FF00,60,4,-2
10541,circle,8,#FF00FF,0,2,-2
10542,hexagon,8,#000000,39,-3,4
10543,triangle,5,#FFFF00,100,-1,8
10544,triangle,14,#000000,46,-2,0
10545,triangle,8,#FF0000,18,-3,-3
10546,pentagon,8,#00FF00,20,5,-2
10547,pentagon,14,#FFFF00,41,-1,-1
10548,circle,9,#00FFFF,0,5,-4
10549,hexagon,15,#FF0000,14,0,0
10550,pentagon,13,#00FF00,35,-3,-1
10551,pentagon,5,#000000,43,-4,4
10552,pentagon,11,#FFA500,27,0,1
10553,hexagon,5,#00FF00,10,-6,-10
10554,circle,5,#000000,0,-10,10
10555,circle,13,#FFA500,0,-3,-1
10556,circle,14,#0000FF,0,-2,-2
10557,hexagon,10,#FFFF00,20,-5,-4
10558,square,5,#FFA500,81,-6,-3
10559,square,10,#008000,78,4,5
10560,circle,10,#0000FF,0,-6,3
10561,hexagon,7,#FFFF00,45,2,5
10562,square,8,#FFA500,15,-8,0
10563,hexagon,5,#FF00FF,13,8,5
10564,circle,10,#800080,0,4,5
10565,pentagon,11,#0000FF,9,-1,-5
10566,triangle,6,#800080,80,0,-4
10567,pentagon,15,#FFA500,64,0,0
10568,circle,5,#FF00FF,0,-7,-7
10569,pentagon,6,#800080,52,8,8
10570,circle,11,#000000,0,4,-1
10571,triangle,12,#FF0000,76,0,-4
10572,hexagon,12,#0000FF,6,3,1
10573,pentagon,5,#FFA500,12,-11,5
10574,hexagon,10,#FFA500,12,2,0
10575,triangle,11,#0000FF,58,2,-3
10576,square,13,#FFA500,81,1,1
10577,triangle,14,#FF00FF,69,-1,1
10578,circle,6,#FFA500,0,1,-7
10579,triangle,7,#FFFF00,78,0,6
10580,pentagon,15,#0000FF,17,0,-1
10581,hexagon,7,#0000FF,47,6,-9
10582,hexagon,12,#008000,9,3,2
10583,hexagon,14,#FF0000,40,0,-1
10584,hexagon,14,#FFA500,59,-2,0
10585,square,6,#FF00FF,49,-2,-8
10586,pentagon,11,#FFFF00,35,2,-3
10587,pentagon,7,#008000,50,2,4
10588,triangle,8,#FF00FF,76,2,3
10589,pentagon,15,#800080,67,-1,-1
10590,hexagon,14,#FF00FF,47,-1,-2
10591,square,9,#000000,39,-6,-1
10592,square,12,#0000FF,43,-3,0
10593,hexagon,7,#008000,46,-6,2
10594,circle,6,#0000FF,0,-6,5
10595,hexagon,6,#00FF00,49,-9,6
10596,pentagon,10,#008000,52,-2,-2
10597,triangle,5,#FFFF00,40,3,-1
10598,circle,7,#00FF00,0,7,0
10599,pentagon,7,#000000,27,-6,3
10600,triangle,6,#0000FF,13,-4,-6
10601,pentagon,5,#FFFF00,3,-10,1
10602,hexagon,6,#00FF00,1,-10,-10
10603,pentagon,12,#FFFF00,30,-1,3
10604,pentagon,14,#00FFFF,57,-1,-2
10605,circle,5,#00FF00,0,-9,-1
10606,circle,6,#FF00FF,0,4,-7
10607,pentagon,14,#00FFFF,41,0,0
10608,pentagon,6,#FFA500,29,-1,-9
10609,hexagon,13,#008000,51,2,-2
10610,hexagon,6,#00FF00,44,-3,8
10611,circle,11,#800080,0,-4,-4
10612,triangle,14,#FF00FF,3,1,-2
10613,pentagon,11,#008000,32,-4,-5
10614,pentagon,7,#008000,65,8,6
10615,pentagon,10,#0000FF,3,2,-1
10616,triangle,5,#0000FF,58,8,-4
10617,circle,8,#00FFFF,0,-3,7
10618,circle,5,#008000,0,-7,6
10619,pentagon,10,#FF0000,49,-4,3
10620,pentagon,12,#FFA500,67,-4,0
10621,triangle,11,#000000,60,-1,3
10622,circle,12,#00FFFF,0,-2,0
10623,circle,14,#000000,0,-1,0
10624,circle,12,#00FF00,0,-3,-3
